Rk,Team,W-L-T,Win%,FPts
1,Saint Louis Cardinals,52-8-0,0.867,21210
2,Pittsburgh Pirates,42-18-0,0.7,20237.5
3,Milwaukee Brewers,36-24-0,0.6,17996.5
4,Cincinnati Reds,19-41-0,0.317,13758.5
5,Chicago Cubs,13-47-0,0.217,12590.5
1,Atlanta Braves,45-15-0,0.75,19603.5
2,New York Mets,33-27-0,0.55,17008.49
3,Washington Nationals,27-33-0,0.45,16513.5
4,Philadelphia Phillies,17-43-0,0.283,15205
5,Miami Marlins,2-58-0,0.033,7233
1,Los Angeles Dodgers,55-5-0,0.917,21910.51
2,San Francisco Giants,50-10-0,0.833,22130.5
3,Arizona Diamondbacks,44-16-0,0.733,20287.01
4,San Diego Padres,38-22-0,0.633,17720
5,Colorado Rockies,10-50-0,0.167,12584
1,Toronto Blue Jays,34-26-0,0.567,18012.99
2,Baltimore Orioles,34-26-0,0.567,17559.5
3,Tampa Bay Rays,26-34-0,0.433,16538.01
4,New York Yankees,26-34-0,0.433,16097.5
5,Boston Red Sox,13-47-0,0.217,12593.5
1,Kansas City Royals,48-12-0,0.8,21048.5
2,Cleveland Guardians,42-18-0,0.7,20063.49
3,Detroit Tigers,39-21-0,0.65,18166
4,Minnesota Twins,23-37-0,0.383,16402.8
5,Chicago White Sox,1-59-0,0.017,6524
1,Oakland Athletics,44-16-0,0.733,19925.5
2,Seattle Mariners,40-20-0,0.667,18319
3,Houston Astros,23-37-0,0.383,15056.5
4,Los Angeles Angels,16-44-0,0.267,14204
5,Texas Rangers,8-52-0,0.133,11167.5
