Scoring Period,Away,Home
16,Seattle Mariners,Chicago White Sox
16,Seattle Mariners,Toronto Blue Jays
16,Seattle Mariners,Cleveland Guardians
16,Kansas City Royals,Washington Nationals
16,Kansas City Royals,Atlanta Braves
16,Texas Rangers,Washington Nationals
16,Texas Rangers,Chicago White Sox
16,Texas Rangers,Atlanta Braves
16,Milwaukee Brewers,Minnesota Twins
16,Milwaukee Brewers,Miami Marlins
16,Milwaukee Brewers,Tampa Bay Rays
16,Houston Astros,Kansas City Royals
16,Houston Astros,Miami Marlins
16,Houston Astros,Tampa Bay Rays
16,Saint Louis Cardinals,Baltimore Orioles
16,Saint Louis Cardinals,Minnesota Twins
16,Saint Louis Cardinals,Miami Marlins
16,Arizona Diamondbacks,New York Yankees
16,Los Angeles Angels,Arizona Diamondbacks
16,Los Angeles Angels,New York Yankees
16,Los Angeles Angels,Athletics
16,Philadelphia Phillies,New York Yankees
16,Philadelphia Phillies,Toronto Blue Jays
16,Philadelphia Phillies,Athletics
16,Detroit Tigers,Pittsburgh Pirates
16,Detroit Tigers,Los Angeles Dodgers
16,Chicago Cubs,Baltimore Orioles
16,Chicago Cubs,Minnesota Twins
16,Chicago Cubs,Boston Red Sox
16,New York Mets,Baltimore Orioles
16,New York Mets,Boston Red Sox
16,New York Mets,Pittsburgh Pirates
16,Cincinnati Reds,Toronto Blue Jays
16,Cincinnati Reds,Athletics
16,Cincinnati Reds,Cleveland Guardians
16,Colorado Rockies,Boston Red Sox
16,Colorado Rockies,Pittsburgh Pirates
16,Colorado Rockies,Los Angeles Dodgers
16,San Diego Padres,Arizona Diamondbacks
16,San Diego Padres,Detroit Tigers
16,San Diego Padres,Los Angeles Dodgers
16,Atlanta Braves,Tampa Bay Rays
16,San Francisco Giants,Washington Nationals
16,San Francisco Giants,Chicago White Sox
16,San Francisco Giants,Cleveland Guardians
17,Kansas City Royals,Milwaukee Brewers
17,Kansas City Royals,Saint Louis Cardinals
17,Kansas City Royals,Chicago Cubs
17,Texas Rangers,Milwaukee Brewers
17,Texas Rangers,Saint Louis Cardinals
17,Baltimore Orioles,Detroit Tigers
17,Baltimore Orioles,Los Angeles Dodgers
17,Baltimore Orioles,Colorado Rockies
17,Milwaukee Brewers,San Francisco Giants
17,Houston Astros,Seattle Mariners
17,Houston Astros,Texas Rangers
17,Houston Astros,San Francisco Giants
17,Minnesota Twins,Detroit Tigers
17,Minnesota Twins,New York Mets
17,Minnesota Twins,Colorado Rockies
17,New York Yankees,San Diego Padres
17,Washington Nationals,Seattle Mariners
17,Washington Nationals,Philadelphia Phillies
17,Washington Nationals,Cincinnati Reds
17,Chicago White Sox,Los Angeles Angels
17,Chicago White Sox,Philadelphia Phillies
17,Chicago White Sox,Cincinnati Reds
17,Boston Red Sox,Detroit Tigers
17,Boston Red Sox,Pittsburgh Pirates
17,Boston Red Sox,Los Angeles Dodgers
17,Miami Marlins,Chicago Cubs
17,Miami Marlins,New York Mets
17,Miami Marlins,Colorado Rockies
17,Toronto Blue Jays,Arizona Diamondbacks
17,Toronto Blue Jays,New York Yankees
17,Toronto Blue Jays,Los Angeles Angels
17,Tampa Bay Rays,Saint Louis Cardinals
17,Tampa Bay Rays,Chicago Cubs
17,Tampa Bay Rays,New York Mets
17,Pittsburgh Pirates,Los Angeles Dodgers
17,Pittsburgh Pirates,San Diego Padres
17,Atlanta Braves,Seattle Mariners
17,Atlanta Braves,Cincinnati Reds
17,Atlanta Braves,San Francisco Giants
17,Athletics,Arizona Diamondbacks
17,Athletics,New York Yankees
17,Athletics,San Diego Padres
17,Cleveland Guardians,Arizona Diamondbacks
17,Cleveland Guardians,Los Angeles Angels
17,Cleveland Guardians,Philadelphia Phillies
18,Seattle Mariners,Milwaukee Brewers
18,Seattle Mariners,Saint Louis Cardinals
18,Saint Louis Cardinals,San Francisco Giants
18,Arizona Diamondbacks,Washington Nationals
18,Arizona Diamondbacks,Chicago White Sox
18,Arizona Diamondbacks,Atlanta Braves
18,New York Yankees,Washington Nationals
18,New York Yankees,Chicago White Sox
18,New York Yankees,Cleveland Guardians
18,Los Angeles Angels,Houston Astros
18,Los Angeles Angels,Washington Nationals
18,Los Angeles Angels,Atlanta Braves
18,Philadelphia Phillies,Milwaukee Brewers
18,Philadelphia Phillies,Houston Astros
18,Philadelphia Phillies,Atlanta Braves
18,Boston Red Sox,Baltimore Orioles
18,Boston Red Sox,Minnesota Twins
18,Detroit Tigers,Kansas City Royals
18,Detroit Tigers,Miami Marlins
18,Detroit Tigers,Tampa Bay Rays
18,Chicago Cubs,Seattle Mariners
18,Chicago Cubs,Texas Rangers
18,Chicago Cubs,San Francisco Giants
18,New York Mets,Kansas City Royals
18,New York Mets,Texas Rangers
18,New York Mets,San Francisco Giants
18,Toronto Blue Jays,Cleveland Guardians
18,Pittsburgh Pirates,Baltimore Orioles
18,Pittsburgh Pirates,Minnesota Twins
18,Pittsburgh Pirates,Miami Marlins
18,Cincinnati Reds,Milwaukee Brewers
18,Cincinnati Reds,Houston Astros
18,Cincinnati Reds,Saint Louis Cardinals
18,Los Angeles Dodgers,Minnesota Twins
18,Los Angeles Dodgers,Miami Marlins
18,Los Angeles Dodgers,Tampa Bay Rays
18,Colorado Rockies,Kansas City Royals
18,Colorado Rockies,Texas Rangers
18,Colorado Rockies,Tampa Bay Rays
18,San Diego Padres,Baltimore Orioles
18,San Diego Padres,Boston Red Sox
18,San Diego Padres,Toronto Blue Jays
18,Athletics,Chicago White Sox
18,Athletics,Toronto Blue Jays
18,Athletics,Cleveland Guardians
19,Seattle Mariners,Detroit Tigers
19,Seattle Mariners,New York Mets
19,Seattle Mariners,Colorado Rockies
19,Kansas City Royals,Boston Red Sox
19,Kansas City Royals,Pittsburgh Pirates
19,Kansas City Royals,Los Angeles Dodgers
19,Texas Rangers,Detroit Tigers
19,Texas Rangers,Pittsburgh Pirates
19,Texas Rangers,Los Angeles Dodgers
19,Milwaukee Brewers,Arizona Diamondbacks
19,Milwaukee Brewers,New York Yankees
19,Milwaukee Brewers,Los Angeles Angels
19,Houston Astros,Arizona Diamondbacks
19,Houston Astros,New York Yankees
19,Houston Astros,Athletics
19,Saint Louis Cardinals,Arizona Diamondbacks
19,Saint Louis Cardinals,Los Angeles Angels
19,Saint Louis Cardinals,Philadelphia Phillies
19,Minnesota Twins,Baltimore Orioles
19,Minnesota Twins,San Diego Padres
19,Washington Nationals,Toronto Blue Jays
19,Washington Nationals,Athletics
19,Washington Nationals,Cleveland Guardians
19,Chicago White Sox,Toronto Blue Jays
19,Chicago White Sox,San Diego Padres
19,Chicago White Sox,Cleveland Guardians
19,Chicago Cubs,Los Angeles Angels
19,Chicago Cubs,Philadelphia Phillies
19,Chicago Cubs,Cincinnati Reds
19,New York Mets,Philadelphia Phillies
19,Miami Marlins,Baltimore Orioles
19,Miami Marlins,Minnesota Twins
19,Miami Marlins,Boston Red Sox
19,Tampa Bay Rays,Baltimore Orioles
19,Tampa Bay Rays,Boston Red Sox
19,Tampa Bay Rays,Pittsburgh Pirates
19,Cincinnati Reds,New York Mets
19,Cincinnati Reds,Colorado Rockies
19,Atlanta Braves,New York Yankees
19,Atlanta Braves,Toronto Blue Jays
19,Atlanta Braves,Athletics
19,San Francisco Giants,Detroit Tigers
19,San Francisco Giants,Los Angeles Dodgers
19,San Francisco Giants,Colorado Rockies
19,Cleveland Guardians,San Diego Padres
20,Baltimore Orioles,Kansas City Royals
20,Baltimore Orioles,Texas Rangers
20,Baltimore Orioles,San Francisco Giants
20,Arizona Diamondbacks,Chicago Cubs
20,Arizona Diamondbacks,New York Mets
20,Arizona Diamondbacks,Colorado Rockies
20,Minnesota Twins,Kansas City Royals
20,Minnesota Twins,Texas Rangers
20,Minnesota Twins,Tampa Bay Rays
20,New York Yankees,Saint Louis Cardinals
20,New York Yankees,Chicago Cubs
20,New York Yankees,New York Mets
20,Washington Nationals,Atlanta Braves
20,Los Angeles Angels,New York Mets
20,Los Angeles Angels,Colorado Rockies
20,Chicago White Sox,Houston Astros
20,Chicago White Sox,Washington Nationals
20,Chicago White Sox,Atlanta Braves
20,Boston Red Sox,Seattle Mariners
20,Boston Red Sox,Texas Rangers
20,Boston Red Sox,San Francisco Giants
20,Detroit Tigers,Los Angeles Angels
20,Detroit Tigers,Philadelphia Phillies
20,Detroit Tigers,Cincinnati Reds
20,Miami Marlins,Kansas City Royals
20,Miami Marlins,Tampa Bay Rays
20,Toronto Blue Jays,Milwaukee Brewers
20,Toronto Blue Jays,Houston Astros
20,Toronto Blue Jays,Saint Louis Cardinals
20,Pittsburgh Pirates,Seattle Mariners
20,Pittsburgh Pirates,Cincinnati Reds
20,Pittsburgh Pirates,San Francisco Giants
20,Los Angeles Dodgers,Seattle Mariners
20,Los Angeles Dodgers,Philadelphia Phillies
20,Los Angeles Dodgers,Cincinnati Reds
20,Colorado Rockies,Philadelphia Phillies
20,San Diego Padres,Washington Nationals
20,San Diego Padres,Miami Marlins
20,San Diego Padres,Tampa Bay Rays
20,Athletics,Milwaukee Brewers
20,Athletics,Saint Louis Cardinals
20,Athletics,Chicago Cubs
20,Cleveland Guardians,Milwaukee Brewers
20,Cleveland Guardians,Houston Astros
20,Cleveland Guardians,Atlanta Braves
21,Seattle Mariners,Baltimore Orioles
21,Seattle Mariners,Minnesota Twins
21,Seattle Mariners,Miami Marlins
21,Kansas City Royals,Tampa Bay Rays
21,Kansas City Royals,San Diego Padres
21,Texas Rangers,Kansas City Royals
21,Texas Rangers,Miami Marlins
21,Texas Rangers,Tampa Bay Rays
21,Milwaukee Brewers,Washington Nationals
21,Milwaukee Brewers,Chicago White Sox
21,Milwaukee Brewers,Atlanta Braves
21,Houston Astros,Washington Nationals
21,Houston Astros,San Diego Padres
21,Houston Astros,Atlanta Braves
21,Saint Louis Cardinals,Washington Nationals
21,Saint Louis Cardinals,Chicago White Sox
21,Saint Louis Cardinals,Cleveland Guardians
21,Arizona Diamondbacks,Pittsburgh Pirates
21,Arizona Diamondbacks,Los Angeles Dodgers
21,Los Angeles Angels,Boston Red Sox
21,Los Angeles Angels,Pittsburgh Pirates
21,Los Angeles Angels,Los Angeles Dodgers
21,Philadelphia Phillies,Baltimore Orioles
21,Philadelphia Phillies,Boston Red Sox
21,Philadelphia Phillies,Pittsburgh Pirates
21,Detroit Tigers,Arizona Diamondbacks
21,Detroit Tigers,New York Yankees
21,Detroit Tigers,Athletics
21,Chicago Cubs,Chicago White Sox
21,Chicago Cubs,Toronto Blue Jays
21,Chicago Cubs,Cleveland Guardians
21,New York Mets,Toronto Blue Jays
21,New York Mets,Athletics
21,New York Mets,Cleveland Guardians
21,Cincinnati Reds,Baltimore Orioles
21,Cincinnati Reds,Minnesota Twins
21,Cincinnati Reds,Boston Red Sox
21,Los Angeles Dodgers,New York Yankees
21,Colorado Rockies,New York Yankees
21,Colorado Rockies,Toronto Blue Jays
21,Colorado Rockies,Athletics
21,Atlanta Braves,San Diego Padres
21,San Francisco Giants,Minnesota Twins
21,San Francisco Giants,Miami Marlins
21,San Francisco Giants,Tampa Bay Rays
