Rk,Team,W-L-T,Win%,FPts
1,Saint Louis Cardinals,48-8-0,0.857,19817.83
2,Pittsburgh Pirates,44-12-0,0.786,19952.5
3,Milwaukee Brewers,25-31-0,0.446,15595
4,Chicago Cubs,23-33-0,0.411,15848.83
5,Cincinnati Reds,19-37-0,0.339,14480.66
1,Atlanta Braves,40-16-0,0.714,17318.84
2,Philadelphia Phillies,34-22-0,0.607,15739.83
3,New York Mets,10-46-0,0.179,9372.33
4,Washington Nationals,8-48-0,0.143,8719.66
5,Miami Marlins,7-49-0,0.125,8509.17
1,Los Angeles Dodgers,49-7-0,0.875,19950.18
2,San Francisco Giants,44-12-0,0.786,18230.17
3,Arizona Diamondbacks,35-20-1,0.634,17753.83
4,San Diego Padres,16-40-0,0.286,13561
5,Colorado Rockies,8-48-0,0.143,11652.33
1,Baltimore Orioles,43-13-0,0.768,17856
2,New York Yankees,38-18-0,0.679,16633.16
3,Toronto Blue Jays,25-31-0,0.446,15248.32
4,Tampa Bay Rays,20-36-0,0.357,14446.67
5,Boston Red Sox,14-42-0,0.25,12388.99
1,Minnesota Twins,42-14-0,0.75,18610.67
2,Cleveland Guardians,38-18-0,0.679,18117.84
3,Kansas City Royals,33-22-1,0.598,16659.67
4,Detroit Tigers,19-37-0,0.339,13586.83
5,Chicago White Sox,7-49-0,0.125,8121
1,Oakland Athletics,47-9-0,0.839,18882.17
2,Texas Rangers,42-14-0,0.75,18560.83
3,Seattle Mariners,38-18-0,0.679,17662.33
4,Houston Astros,18-38-0,0.321,13021.67
5,Los Angeles Angels,5-51-0,0.089,9429.01
