#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP
194,Jonny DeLuca,TBR,109,469,424,97,21,3,14,56,52,34,96,6,18,4,7.30%,20.60%,0.16,0.263,0.229,0.294,0.39,0.684,0.298,98,338.6
195,Tyler Soderstrom,ATH,122,522,477,112,23,2,24,58,69,35,144,5,1,0,6.80%,27.50%,0.205,0.281,0.235,0.292,0.44,0.732,0.314,109,282.1
196,Hyeseong Kim,LAD,91,392,363,101,15,2,5,45,39,23,63,2,15,3,5.90%,16.10%,0.092,0.324,0.278,0.324,0.37,0.694,0.304,96,381.7
197,Thairo Estrada,COL,120,518,481,128,24,2,14,51,48,24,100,9,11,4,4.60%,19.20%,0.147,0.308,0.266,0.311,0.413,0.725,0.315,88,303.9
198,Miguel Vargas,CHW,115,497,431,99,22,1,12,50,44,56,104,5,11,3,11.20%,21.00%,0.141,0.272,0.229,0.322,0.371,0.693,0.307,99,412.9
199,Matt Vierling,DET,110,476,431,108,20,3,11,55,43,38,98,3,7,3,7.90%,20.50%,0.135,0.299,0.251,0.314,0.386,0.7,0.306,100,321.7
200,Trevor Larnach,MIN,109,469,411,98,19,1,17,56,56,49,127,4,4,1,10.50%,27.00%,0.175,0.299,0.239,0.323,0.413,0.736,0.321,110,331.1
401,Korey Lee,CHW,47,186,174,38,8,0,5,15,17,9,54,1,4,1,5.00%,29.30%,0.133,0.288,0.22,0.261,0.353,0.614,0.268,72,580.2
402,Stuart Fairchild,CIN,52,224,198,45,9,1,7,25,23,18,59,5,8,3,7.90%,26.50%,0.155,0.284,0.226,0.304,0.381,0.685,0.301,86,748.4
403,Eric Haase,MIL,32,128,117,25,4,0,5,12,14,9,43,1,1,0,7.00%,33.70%,0.155,0.287,0.211,0.269,0.366,0.635,0.278,76,722.7
404,Nick Loftin,KCR,29,126,112,27,5,0,2,13,10,11,21,1,2,1,8.40%,16.70%,0.107,0.279,0.242,0.312,0.35,0.662,0.294,86,750.8
405,Victor Scott II,STL,63,273,248,56,10,2,3,28,18,17,56,3,20,4,6.10%,20.70%,0.092,0.275,0.224,0.279,0.316,0.596,0.264,69,402.2
406,Darell Hernaiz,ATH,26,112,103,25,5,0,1,10,9,6,21,1,2,1,5.70%,18.90%,0.095,0.29,0.244,0.289,0.338,0.627,0.276,82,750.8
407,Adrian Del Castillo,ARI,29,119,107,25,6,1,3,14,13,10,30,1,0,0,8.60%,24.80%,0.156,0.285,0.231,0.3,0.387,0.687,0.3,90,472.7
408,Jacob Melton,HOU,37,161,150,32,6,0,5,16,18,10,44,1,8,2,6.00%,27.50%,0.145,0.264,0.212,0.26,0.357,0.617,0.269,75,999
409,Derek Hill,MIA,63,273,252,61,11,3,6,29,22,15,76,2,8,2,5.40%,27.90%,0.135,0.316,0.24,0.285,0.375,0.66,0.287,80,575.7
410,Austin Martin,MIN,28,119,102,23,5,0,1,13,8,12,22,3,5,1,10.30%,18.70%,0.076,0.281,0.227,0.326,0.303,0.629,0.288,87,748.2
411,Leo Jiménez,TOR,11,49,42,10,2,0,1,5,4,4,10,2,0,0,8.00%,20.90%,0.11,0.288,0.234,0.331,0.344,0.675,0.304,99,999
412,Michael Siani,STL,68,294,261,55,10,2,3,29,19,26,73,2,14,3,9.00%,24.70%,0.087,0.279,0.212,0.287,0.299,0.586,0.264,69,616.3
413,Blake Sabol,BOS,15,58,52,12,2,0,1,6,6,5,16,1,1,0,8.30%,28.10%,0.143,0.317,0.241,0.309,0.384,0.693,0.304,92,751
414,Joshua Palacios,PIT,26,112,102,25,5,0,3,12,11,8,24,1,3,1,7.10%,21.80%,0.15,0.298,0.25,0.311,0.4,0.711,0.31,96,746
415,Justin Turner,CHC,83,357,315,76,14,0,7,36,32,33,66,6,2,1,9.30%,18.40%,0.114,0.28,0.241,0.322,0.355,0.678,0.302,95,500.5
416,Chase DeLauter,CLE,16,70,64,16,4,0,2,7,7,5,13,0,1,0,7.60%,18.70%,0.148,0.287,0.251,0.309,0.399,0.708,0.308,102,999
417,Leo Rivas,SEA,16,70,59,12,2,0,0,7,4,9,18,1,4,1,13.20%,26.00%,0.066,0.284,0.205,0.315,0.271,0.586,0.272,81,999
418,Andy Ibáñez,DET,45,196,180,42,9,1,4,19,18,13,41,2,2,1,6.80%,20.70%,0.124,0.28,0.235,0.292,0.359,0.651,0.286,86,747.9
419,Austin Barnes,LAD,36,141,125,27,5,0,2,15,12,13,32,1,2,0,9.10%,22.50%,0.097,0.273,0.219,0.296,0.316,0.612,0.275,77,741.7
420,Miguel Rojas,LAD,23,98,90,22,4,0,1,10,9,6,12,1,2,1,6.30%,12.70%,0.097,0.265,0.24,0.294,0.337,0.631,0.28,80,712.6
421,Ben Gamel,HOU,36,154,134,30,6,1,3,18,15,18,41,1,1,0,11.60%,26.60%,0.131,0.294,0.224,0.316,0.355,0.671,0.299,96,748.3
422,Travis Bazzana,CLE,29,126,112,23,5,0,3,12,11,11,37,2,2,0,9.00%,29.70%,0.119,0.281,0.206,0.289,0.325,0.613,0.275,78,999
423,David Fry,CLE,40,175,155,36,8,1,5,19,18,15,40,3,2,0,8.60%,22.60%,0.15,0.284,0.235,0.314,0.385,0.699,0.307,101,493.6
424,Drew Millas,WSN,11,45,41,10,2,0,1,4,3,4,9,0,1,0,8.20%,19.30%,0.103,0.29,0.242,0.306,0.345,0.65,0.288,84,748.8
425,Kevin Newman,LAA,55,238,219,52,11,1,2,23,18,14,37,1,5,1,5.80%,15.40%,0.086,0.275,0.238,0.286,0.324,0.61,0.27,72,673.3
426,Angel Martínez,CLE,29,126,114,26,6,1,2,12,10,9,26,1,2,1,7.20%,20.80%,0.114,0.278,0.23,0.29,0.344,0.633,0.279,82,745.9
427,Austin Hedges,CLE,49,192,172,33,6,0,3,15,13,12,53,2,2,1,6.10%,27.50%,0.093,0.252,0.19,0.249,0.283,0.532,0.238,53,750.7
428,Griffin Conine,MIA,75,322,289,63,12,1,13,32,34,28,113,3,0,0,8.80%,35.10%,0.183,0.306,0.22,0.293,0.403,0.696,0.303,91,707.6
429,Nick Allen,ATL,24,105,94,23,5,0,1,11,9,8,18,1,3,1,7.80%,17.10%,0.084,0.284,0.24,0.302,0.324,0.626,0.279,76,748.3
430,J.D. Davis,LAA,26,112,100,22,4,0,4,12,12,10,35,2,0,0,8.90%,31.60%,0.154,0.305,0.224,0.303,0.377,0.68,0.299,93,739
431,Grant McCray,SFG,28,119,108,23,5,1,3,14,11,9,41,1,4,1,7.70%,34.30%,0.144,0.308,0.212,0.278,0.356,0.633,0.278,79,743.3
432,Dominic Canzone,SEA,13,56,51,12,2,0,2,6,7,4,13,0,1,0,7.20%,23.10%,0.173,0.273,0.235,0.293,0.408,0.701,0.303,103,746.2
433,Chadwick Tromp,ATL,13,51,47,11,2,0,1,5,6,4,13,0,0,0,7.00%,24.90%,0.136,0.276,0.224,0.278,0.36,0.638,0.28,77,745.3
