Rank,Name,Position,MLB Team,Unique score,,,
131,Winston Santos,SP,HOU,7.87,,,
132,Kash Mayfield,SP,MIA,7.84,,,
133,Angel Genao,SS,TB,7.83,,,
134,Steven Echavarria,SP,NYY,7.82,,,
135,Steven Echavarria,SP,,7.82,,,
136,Thayron Liranzo,C,LAD,7.82,,,
137,Justin Crawford,RF,PHI,7.82,,,
138,Owen Murphy,SP,NYY,7.81,,,
139,Blade Tidwell,SP,PIT,7.80,,,
140,Wyatt Sanford,SS,BOS,7.79,,,
141,George Klassen,SP,ATL,7.76,,,
142,Cooper Pratt,SS,LAA,7.76,,,
143,Cam Collier,3B,CWS,7.74,,,
144,Yolfran Castillo,SS,BAL,7.74,,,
145,Yorger Bautista,CF,CIN,7.74,,,
146,Braylon Payne,CF,KC,7.67,,,
147,Luke Keaschall,2B,DET,7.67,,,
148,Trevor McDonald,SP,ARI,7.65,,,
149,Colby Thomas,LF,STL,7.62,,,
150,Luis Pena,SS,HOU,7.62,,,
151,Dillon Head,CF,MIA,7.61,,,
152,Landen Maroudis,SP,BAL,7.61,,,
153,PJ Morlando,LF,MIA,7.60,,,
154,Sammy Stafura,SS,MIN,7.60,,,
155,Jeferson Quero,C,ATL,7.59,,,
156,Luke Dickerson,SS,OAK,7.57,,,
157,Owen WIld,SP,MIN,7.57,,,
158,Edwin Arroyo,SS,NYY,7.54,,,
159,Kyle Teel,C,LAA,7.54,,,
160,Miguel Bleis,CF,CWS,7.51,,,
161,Yophery Rodriguez,CF,MIL,7.51,,,
162,Bryce Meccage,SP,MIN,7.49,,,
163,Jansel Luis,2B,PHI,7.49,,,
164,Alex Clemmey,SP,MIA,7.47,,,
165,Emil Morales,SS,CWS,7.45,,,
166,Braylin Morel,RF,TEX,7.44,,,
167,Jesus Baez,3B,HOU,7.43,,,
168,Josh Kasevich,SS,COL,7.42,,,
169,Ben Kudrna,SP,ARI,7.41,,,
170,Grant Taylor,SP,HOU,7.40,,,
171,James Tibbs,SS,TOR,7.40,,,
172,Nelson Rada,CF,MIA,7.39,,,
173,Maykel Coret,CF,BAL,7.38,,,
174,Mike Sirota,CF,ARI,7.36,,,
175,Patrick Copen,SP,,7.35,,,
176,Dyan Jorge,SS,TOR,7.35,,,
177,Coleman Crow,SP,BAL,7.33,,,
178,Braden Montgomery,RF,SD,7.33,,,
179,Derniche Valdez,2B,LAD,7.32,,,
180,Noble Meyer,SP,CWS,7.30,,,
181,Mason Barnett,SP,DET,7.28,,,
182,Jake Bloss,SP,LAA,7.28,,,
183,Ralphy Velazquez,1B,KC,7.26,,,
184,Kaelen Culpepper,SS,LAA,7.26,,,
185,Harry Ford,C,CWS,7.25,,,
186,J.R. Ritchie,SP,TB,7.24,,,
187,Eddie Rynders,3B,OAK,7.24,,,
188,Max Muncy,SS,MIA,7.22,,,
189,Tre' Morgan,1B,STL,7.20,,,
190,Welbyn Francisca,SS,STL,7.20,,,
191,Lonnie White,CF,CLE,7.19,,,
192,Fernando Cruz,SS,,7.19,,,
193,Yeremi Cabrera,CF,KC,7.19,,,
194,Enmanuel Bonilla,CF,ATL,7.19,,,
195,Kevin Alvarez,CF,CWS,7.18,,,
196,Andres Valor,CF,BAL,7.18,,,
197,Druw Jones,CF,CWS,7.14,,,
198,Owen Hall,SP,HOU,7.13,,,
199,Denzel Clarke,CF,TB,7.12,,,
200,Andrew Salas,SS,BAL,7.09,,,
201,Joey Oakie,SP,MIA,7.05,,,
202,Luis Cova,CF,BAL,7.03,,,
203,Edgar Quero,C,MIN,6.97,,,
204,Enrique Bradfield Jr.,LF,BOS,6.95,,,
205,Adolfo Sanchez,CF,LAD,6.95,,,
206,Tai Peete,SS,KC,6.92,,,
