#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP
479,Cal Stevenson,PHI,19,59,52,12,2,0,1,7,5,6,13,0,2,1,10.50%,22.40%,0.104,0.286,0.227,0.311,0.331,0.642,0.287,82,999
480,Joey Wiemer,KCR,44,140,126,27,6,0,4,16,14,12,40,1,3,1,8.30%,28.50%,0.139,0.283,0.215,0.287,0.354,0.641,0.283,79,743.7
481,Tim Anderson,LAA,28,112,104,26,4,0,1,11,9,5,27,1,3,1,4.20%,24.10%,0.074,0.329,0.252,0.287,0.326,0.614,0.271,72,657.5
482,Nasim Nuñez,WSN,12,32,28,6,1,0,0,3,2,3,7,0,2,0,9.20%,22.30%,0.063,0.296,0.228,0.302,0.291,0.594,0.268,71,750.5
483,Michael Siani,STL,75,255,229,48,7,1,2,26,14,20,66,2,12,2,7.70%,26.10%,0.075,0.28,0.208,0.275,0.283,0.557,0.251,60,616.3
484,Buddy Kennedy,PHI,11,37,33,8,2,0,1,4,4,3,8,0,0,0,8.60%,22.30%,0.116,0.285,0.23,0.303,0.347,0.65,0.287,82,999
485,Shay Whitcomb,HOU,17,59,54,12,2,0,2,6,6,4,17,1,2,0,6.10%,28.80%,0.147,0.275,0.216,0.27,0.362,0.632,0.275,79,660
486,Isaac Collins,MIL,15,43,38,8,2,0,1,4,4,4,10,0,1,0,9.00%,23.40%,0.116,0.274,0.218,0.297,0.334,0.63,0.28,78,999
487,René Pinto,ARI,7,21,20,4,1,0,1,2,3,1,7,0,0,0,5.40%,34.40%,0.154,0.292,0.211,0.259,0.365,0.624,0.272,71,999
488,Emmanuel Rivera,BAL,23,62,57,14,3,0,2,7,7,4,14,1,0,0,7.00%,21.70%,0.14,0.288,0.242,0.301,0.382,0.683,0.299,97,999
489,Blake Dunn,CIN,11,31,28,6,1,0,1,3,3,2,9,1,1,0,6.90%,29.60%,0.123,0.309,0.226,0.295,0.349,0.644,0.285,75,999
490,Max Acosta,MIA,9,33,31,8,2,0,1,4,3,2,6,0,1,0,5.10%,19.10%,0.11,0.296,0.248,0.293,0.359,0.651,0.285,79,999
491,Curtis Mead,TBR,17,65,60,15,3,0,1,7,7,4,12,1,1,0,5.60%,19.30%,0.133,0.287,0.246,0.296,0.379,0.675,0.294,95,696.5
492,Seby Zavala,BOS,14,46,41,8,2,0,1,4,4,3,17,1,0,0,7.60%,37.00%,0.126,0.282,0.188,0.259,0.314,0.573,0.255,57,999
493,Harold Ramírez,,7,23,22,6,1,0,0,2,2,1,4,0,0,0,4.40%,19.10%,0.093,0.31,0.259,0.3,0.351,0.651,0.287,83,999
494,César Salazar,HOU,6,18,17,4,1,0,0,2,2,1,4,0,0,0,6.90%,19.40%,0.104,0.251,0.212,0.284,0.317,0.6,0.268,74,749.8
495,Gage Workman,CHC,19,78,71,15,3,0,2,8,7,6,28,0,2,0,7.20%,35.40%,0.128,0.316,0.211,0.272,0.339,0.611,0.268,73,746.4
496,Michael Stefanic,TOR,14,41,37,9,1,0,0,4,3,3,5,1,0,0,7.00%,12.90%,0.056,0.283,0.248,0.312,0.304,0.616,0.277,80,999
497,Jake Bauers,MIL,31,117,102,21,4,0,5,14,15,13,37,1,3,1,10.80%,31.80%,0.183,0.273,0.208,0.3,0.391,0.691,0.302,93,714.9
498,Brett Sullivan,SDP,8,25,23,5,1,0,0,2,2,2,4,0,0,0,6.20%,17.40%,0.116,0.244,0.216,0.267,0.331,0.598,0.262,70,999
499,Hunter Feduccia,LAD,4,14,13,3,1,0,0,1,1,1,4,0,0,0,8.70%,24.90%,0.114,0.275,0.216,0.287,0.33,0.617,0.274,76,999
500,Miguel Sanó,,17,67,59,13,3,0,3,8,9,7,23,1,0,0,9.90%,34.30%,0.199,0.287,0.214,0.299,0.414,0.713,0.311,101,999
501,Eric Wagaman,MIA,37,150,139,34,7,0,4,15,17,9,32,1,2,1,5.90%,21.30%,0.144,0.287,0.243,0.29,0.387,0.677,0.294,85,743.7
502,Brice Matthews,HOU,4,16,15,3,1,0,1,2,2,1,6,0,1,0,7.70%,34.80%,0.148,0.294,0.206,0.279,0.354,0.633,0.28,82,999
503,J.C. Escarra,NYY,10,34,31,6,1,0,1,3,3,3,6,0,0,0,7.60%,18.80%,0.113,0.243,0.209,0.28,0.322,0.601,0.267,72,999
504,Joey Loperfido,TOR,35,130,118,26,5,1,3,14,12,9,42,2,3,1,7.20%,32.50%,0.126,0.312,0.218,0.284,0.344,0.627,0.276,79,571.2
505,Nick Ahmed,TEX,16,55,50,11,2,0,1,5,5,3,13,0,1,0,5.50%,24.00%,0.104,0.276,0.218,0.265,0.321,0.586,0.258,65,999
