#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP
594,Pedro León,HOU,20,74,67,14,3,0,2,8,6,5,24,1,3,0,6.40%,33.00%,0.125,0.283,0.202,0.266,0.327,0.593,0.263,70,744.8
595,Jack López,SEA,2,6,6,1,0,0,0,1,0,0,2,0,0,0,4.40%,32.90%,0.089,0.28,0.195,0.237,0.284,0.521,0.231,52,999
596,Ryan Vilade,STL,4,11,10,2,0,0,0,1,1,1,3,0,0,0,6.70%,25.60%,0.105,0.292,0.225,0.282,0.33,0.612,0.27,73,999
597,Yanquiel Fernandez,COL,0,12,11,3,1,0,0,1,1,1,3,0,0,0,5.70%,22.50%,0.14,0.301,0.248,0.294,0.388,0.681,0.294,74,744.4
598,Mitch Haniger,SEA,82,330,296,63,12,0,11,32,38,28,93,4,0,0,8.60%,28.20%,0.151,0.268,0.212,0.287,0.362,0.649,0.286,92,642.9
599,Jared Young,NYM,5,16,15,3,1,0,0,2,2,1,4,0,0,0,7.70%,27.20%,0.134,0.278,0.215,0.286,0.349,0.636,0.281,82,748.4
600,Gilberto Celestino,NYM,3,9,8,2,0,0,0,1,1,1,2,0,0,0,7.30%,22.10%,0.079,0.287,0.226,0.287,0.305,0.592,0.264,71,999
601,Jose Herrera,ARI,27,92,81,17,3,0,1,8,6,8,22,1,1,0,8.20%,23.40%,0.072,0.273,0.21,0.281,0.281,0.562,0.253,59,750.9
602,Gavin Sheets,SDP,33,126,113,26,5,0,3,13,13,10,26,1,0,0,8.10%,20.60%,0.136,0.267,0.228,0.295,0.364,0.659,0.289,88,705.8
603,Matt Koperniak,STL,4,15,14,3,1,0,0,1,1,1,3,0,0,0,5.90%,21.60%,0.106,0.284,0.233,0.284,0.339,0.623,0.275,76,999
604,Elehuris Montero,,9,33,30,7,1,0,1,4,4,2,9,0,0,0,6.90%,26.90%,0.175,0.299,0.242,0.301,0.416,0.717,0.31,85,750.5
605,Darren Baker,WSN,8,28,26,6,1,0,0,3,2,2,6,0,1,0,5.70%,21.10%,0.059,0.308,0.242,0.287,0.301,0.588,0.261,66,999
606,Mason McCoy,SDP,5,16,14,3,1,0,0,2,1,1,5,0,0,0,6.10%,31.90%,0.088,0.283,0.197,0.249,0.284,0.534,0.238,53,999
607,Cade Marlowe,SEA,7,13,12,2,0,0,0,1,1,1,5,0,1,0,7.70%,35.40%,0.117,0.282,0.191,0.259,0.308,0.567,0.251,67,999
608,Alika Williams,PIT,23,60,55,13,2,0,1,6,5,4,13,0,1,0,5.80%,22.10%,0.093,0.289,0.231,0.281,0.325,0.606,0.268,67,999
609,Dustin Harris,TEX,7,24,22,5,1,0,0,3,2,2,6,0,1,0,7.50%,25.40%,0.122,0.28,0.22,0.285,0.342,0.627,0.275,78,750.9
610,David Villar,SFG,10,32,29,6,1,0,1,3,3,2,10,0,0,0,7.50%,30.10%,0.144,0.29,0.218,0.287,0.361,0.648,0.285,84,999
611,Matt Duffy,,28,95,88,20,3,0,1,9,8,6,21,1,1,0,6.40%,22.00%,0.068,0.297,0.233,0.29,0.301,0.591,0.265,69,999
612,Tyler Locklear,SEA,30,111,99,21,4,0,3,11,12,8,32,2,1,0,7.60%,29.40%,0.134,0.285,0.214,0.287,0.347,0.635,0.28,87,703.7
613,Sammy Siani,PIT,5,13,12,3,1,0,0,1,1,1,3,0,0,0,7.40%,27.10%,0.097,0.294,0.219,0.282,0.316,0.598,0.266,66,999
614,Owen Caissie,CHC,13,52,47,11,2,0,1,5,5,4,17,0,1,0,8.40%,33.00%,0.128,0.326,0.224,0.294,0.352,0.646,0.284,84,707.1
615,Luis De Los Santos,NYM,10,28,26,5,1,0,0,3,3,2,7,0,0,0,6.20%,26.40%,0.103,0.265,0.205,0.26,0.308,0.568,0.252,63,999
616,Graham Pauley,MIA,31,114,103,23,5,0,3,11,12,9,28,1,2,0,7.60%,24.40%,0.141,0.269,0.219,0.285,0.36,0.645,0.283,77,999
617,Robert Hassell III,WSN,16,61,56,13,2,0,1,6,5,5,16,0,1,0,7.40%,26.30%,0.095,0.303,0.228,0.288,0.323,0.611,0.271,72,739.5
618,Justin Foscue,TEX,6,19,17,4,1,0,0,2,2,2,4,0,0,0,7.90%,20.70%,0.131,0.252,0.214,0.287,0.345,0.632,0.28,81,999
619,Rowdy Tellez,SEA,26,100,89,19,3,0,4,9,12,9,23,1,0,0,8.60%,23.00%,0.159,0.239,0.211,0.284,0.37,0.654,0.285,91,728
620,Zach DeLoach,CHW,14,44,40,9,2,0,1,4,4,3,13,0,1,0,7.80%,29.70%,0.107,0.306,0.22,0.288,0.327,0.615,0.273,76,999
621,Ryan Noda,LAA,12,41,35,7,1,0,1,5,4,5,14,1,0,0,12.20%,34.60%,0.155,0.273,0.19,0.301,0.345,0.646,0.289,85,746.5
622,Brock Wilken,MIL,16,62,56,11,2,0,2,6,7,5,21,1,0,0,8.50%,33.80%,0.133,0.269,0.192,0.266,0.325,0.591,0.263,66,999
623,Michael Helman,STL,26,69,64,13,3,0,2,7,6,4,17,1,2,0,6.00%,24.50%,0.122,0.259,0.21,0.262,0.331,0.594,0.261,67,999
624,Adam Frazier,PIT,71,264,238,56,11,1,2,26,21,19,43,3,5,2,7.20%,16.30%,0.087,0.274,0.234,0.296,0.32,0.617,0.274,72,743.2
625,Bligh Madris,DET,9,31,28,6,1,0,1,3,3,3,8,0,1,0,8.30%,26.90%,0.136,0.266,0.209,0.277,0.345,0.622,0.274,77,999
626,Nick Gordon,BAL,47,136,126,29,6,1,3,15,13,7,32,2,3,1,4.90%,23.60%,0.122,0.283,0.228,0.273,0.35,0.623,0.272,78,999
627,Kameron Misner,TBR,20,65,59,11,3,0,1,7,6,6,23,1,2,0,9.00%,34.90%,0.127,0.287,0.194,0.272,0.321,0.593,0.264,74,999
628,Paul DeJong,WSN,87,334,303,60,11,0,12,31,40,21,108,5,3,1,6.20%,32.30%,0.155,0.258,0.197,0.257,0.352,0.609,0.267,70,470.8
629,Bryce Eldridge,SFG,27,107,96,22,4,0,3,11,12,9,31,1,1,0,8.10%,29.00%,0.147,0.303,0.23,0.297,0.377,0.674,0.293,89,999
630,Aaron Schunk,COL,25,67,62,15,3,0,1,7,7,3,17,0,1,0,5.00%,25.40%,0.121,0.308,0.24,0.282,0.36,0.642,0.279,64,744.9
631,Zach Remillard,,11,31,28,6,1,0,0,3,2,2,8,0,1,0,6.30%,26.30%,0.08,0.271,0.204,0.262,0.284,0.546,0.244,55,999
632,Scott Kingery,LAA,21,83,76,15,3,0,2,8,7,5,27,1,3,0,5.70%,32.40%,0.129,0.272,0.198,0.249,0.327,0.575,0.253,60,718.7
633,José Abreu,,36,145,133,31,6,0,4,15,17,8,32,2,0,0,5.70%,21.80%,0.139,0.276,0.234,0.289,0.373,0.662,0.29,86,747.7
634,Niko Kavadas,LAA,9,35,31,6,1,0,1,4,4,4,14,1,0,0,10.80%,39.10%,0.161,0.286,0.188,0.287,0.348,0.635,0.283,81,999
635,Tim Elko,CHW,6,24,22,5,1,0,1,2,3,1,8,0,0,0,5.00%,33.30%,0.131,0.317,0.226,0.27,0.357,0.627,0.274,76,999
636,Marco Luciano,SFG,25,92,83,18,3,0,2,9,8,8,28,1,1,0,8.50%,30.20%,0.119,0.305,0.221,0.291,0.34,0.63,0.279,80,703.3
637,Tristan Gray,CHW,7,14,13,2,1,0,0,1,1,1,5,0,0,0,5.90%,32.40%,0.136,0.247,0.185,0.24,0.321,0.561,0.246,57,999
638,David Peralta,,71,262,240,58,12,1,5,27,26,19,55,2,2,1,7.20%,20.80%,0.121,0.292,0.241,0.3,0.362,0.662,0.289,86,748.3
639,Zac Veen,COL,38,145,132,31,6,1,3,17,13,11,38,1,7,1,7.60%,26.10%,0.132,0.308,0.237,0.3,0.369,0.669,0.293,74,999
640,CJ Alexander,ATH,7,22,21,4,1,0,1,2,2,1,6,0,0,0,5.10%,28.10%,0.14,0.259,0.204,0.248,0.344,0.592,0.258,69,999
641,Trey Lipscomb,WSN,16,59,55,13,2,0,1,5,5,3,12,0,1,1,5.00%,21.00%,0.076,0.285,0.229,0.272,0.305,0.576,0.255,62,747.2
642,Eddie Rosario,LAD,70,247,228,50,11,1,7,27,28,16,56,1,4,1,6.50%,22.70%,0.151,0.258,0.221,0.272,0.372,0.644,0.279,79,743.3
643,Stone Garrett,WSN,12,41,37,8,2,0,1,4,5,3,12,0,1,0,6.80%,30.20%,0.163,0.295,0.225,0.284,0.388,0.672,0.293,87,731
644,Billy Cook,PIT,37,140,128,28,6,1,4,15,14,9,40,2,4,1,6.10%,28.60%,0.138,0.281,0.215,0.272,0.353,0.625,0.274,71,670
645,Bryce Johnson,PIT,21,38,34,8,1,0,0,4,3,3,10,0,1,0,7.70%,25.60%,0.077,0.298,0.222,0.29,0.298,0.588,0.264,65,999
646,David Hensley,DET,21,58,52,11,2,0,1,6,5,5,17,0,1,0,9.00%,28.80%,0.099,0.289,0.209,0.283,0.308,0.591,0.265,71,999
647,Tyler Gentry,KCR,15,46,42,9,2,0,1,5,4,3,14,1,1,0,7.40%,30.60%,0.112,0.295,0.212,0.279,0.325,0.604,0.269,68,999
648,Weston Wilson,PHI,26,91,82,17,3,0,3,10,10,7,27,1,2,1,7.90%,30.30%,0.151,0.268,0.206,0.272,0.357,0.63,0.275,74,748.6
649,Rece Hinds,CIN,24,56,51,11,2,0,2,6,6,3,21,1,1,0,6.00%,38.50%,0.163,0.31,0.208,0.262,0.371,0.633,0.274,68,738.8
650,Luken Baker,STL,35,118,105,23,5,0,4,12,15,11,32,1,0,0,9.00%,26.80%,0.169,0.266,0.219,0.294,0.387,0.681,0.297,91,741.6
651,Carlos Santana,CLE,131,547,487,105,21,1,15,55,59,53,97,3,3,1,9.60%,17.70%,0.141,0.237,0.215,0.294,0.356,0.649,0.287,87,346.5
652,Darick Hall,PIT,7,27,25,5,1,0,1,2,3,2,7,0,0,0,7.00%,25.10%,0.139,0.259,0.212,0.275,0.351,0.626,0.274,71,749.8
653,Adam Duvall,,59,225,206,41,8,1,9,24,29,14,69,3,1,0,6.40%,30.70%,0.187,0.248,0.201,0.262,0.388,0.65,0.282,81,749.4
654,Andrés Chaparro,WSN,25,98,90,21,4,0,3,9,12,7,22,1,0,0,6.80%,22.50%,0.147,0.27,0.229,0.289,0.376,0.664,0.289,85,751
655,Ildemaro Vargas,ARI,66,199,183,44,9,1,1,19,16,11,24,1,3,1,5.60%,12.00%,0.069,0.269,0.239,0.284,0.308,0.592,0.263,65,999
656,Sean Bouchard,COL,44,165,147,35,8,1,5,19,18,15,46,2,3,1,8.80%,27.90%,0.16,0.315,0.24,0.314,0.401,0.714,0.312,87,743.1
657,Dominic Fletcher,CHW,26,99,91,20,4,0,1,9,8,6,23,1,1,0,5.80%,22.90%,0.094,0.278,0.221,0.274,0.315,0.589,0.261,67,999
658,Bobby Dalbec,CHW,22,60,55,11,2,0,2,6,6,5,24,1,1,0,7.50%,39.00%,0.141,0.295,0.193,0.262,0.333,0.595,0.263,68,750.4
659,Yuli Gurriel,SDP,14,54,51,11,2,0,1,5,5,3,9,0,1,0,5.20%,17.20%,0.111,0.251,0.222,0.265,0.333,0.598,0.261,69,999
660,Juan Yepez,WSN,33,131,120,28,6,0,3,13,15,9,25,1,1,0,6.70%,19.30%,0.136,0.272,0.237,0.293,0.372,0.665,0.292,86,634.9
661,Jac Caglianone,KCR,18,68,62,14,3,0,2,7,7,5,18,1,1,0,6.80%,26.10%,0.128,0.284,0.222,0.283,0.349,0.633,0.277,74,999
662,Blaze Alexander,ARI,43,161,145,33,6,1,3,17,15,11,51,3,3,1,6.80%,31.70%,0.111,0.323,0.225,0.289,0.336,0.626,0.278,75,745.7
663,Greg Jones,COL,31,72,66,14,3,0,2,8,5,4,28,1,4,0,6.10%,39.40%,0.121,0.341,0.212,0.27,0.332,0.602,0.266,56,750.6
664,Jon Singleton,HOU,37,141,123,25,5,0,4,14,15,16,39,1,0,0,11.30%,27.80%,0.145,0.252,0.199,0.292,0.345,0.637,0.283,84,728.1
665,Hunter Renfroe,KCR,98,393,355,79,16,1,12,41,46,31,85,3,1,0,7.80%,21.60%,0.155,0.255,0.222,0.287,0.377,0.664,0.291,84,533.1
666,Oscar Colás,CHW,47,176,161,36,6,0,4,17,17,12,46,2,3,1,6.70%,25.90%,0.127,0.281,0.223,0.282,0.35,0.631,0.276,77,741.5
667,Anthony Rizzo,,81,338,300,66,13,0,8,34,35,27,66,9,2,1,8.10%,19.40%,0.127,0.252,0.219,0.301,0.346,0.647,0.287,84,704.8
668,Kyle Stowers,MIA,99,368,331,71,15,1,11,37,41,30,116,5,2,0,8.10%,31.40%,0.155,0.292,0.215,0.287,0.37,0.657,0.288,81,514.8
669,Jerar Encarnacion,SFG,55,217,199,45,8,0,7,23,24,15,74,1,1,1,7.10%,34.10%,0.148,0.32,0.226,0.285,0.374,0.658,0.288,85,461.5
670,Nick Pratto,KCR,28,108,96,19,4,0,2,11,10,10,37,1,1,0,9.00%,34.10%,0.129,0.29,0.199,0.278,0.328,0.606,0.269,69,750.6
671,Kris Bryant,COL,98,413,368,90,18,1,11,44,46,35,100,7,0,0,8.40%,24.30%,0.146,0.305,0.246,0.321,0.391,0.712,0.313,87,519.8
672,Michael Toglia,COL,133,547,486,110,23,2,21,64,67,54,169,3,7,2,9.80%,31.00%,0.189,0.295,0.225,0.305,0.414,0.719,0.312,86,196.1
673,Tirso Ornelas,SDP,80,316,290,67,14,1,6,32,31,22,68,2,3,1,6.80%,21.60%,0.118,0.278,0.23,0.286,0.348,0.633,0.278,80,999
674,Deyvison De Los Santos,MIA,88,360,338,81,14,1,11,35,43,17,102,3,2,0,4.80%,28.20%,0.147,0.309,0.24,0.281,0.387,0.668,0.288,81,438.2
675,Griffin Conine,MIA,86,332,299,60,12,1,8,30,34,27,117,3,0,0,8.20%,35.40%,0.132,0.295,0.201,0.274,0.333,0.607,0.268,68,707.6
676,Matt Mervis,MIA,83,319,288,57,12,0,9,28,34,24,95,4,1,0,7.60%,29.70%,0.14,0.259,0.199,0.269,0.339,0.608,0.268,67,612.9
