#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
574,Miguel Castro,HOU,0,43,43,2,2,0,0,1,39,19,5,40,17,8.42,3.51,2.39,1.08,0.238,1.31,0.284,72.10%,4,4.16,999
575,Alex Young,CIN,0,22,22,1,1,0,0,1,22,11,3,19,8,7.93,3.37,2.35,1.17,0.25,1.36,0.292,70.70%,4.35,4.36,999
576,Francis Pena,SDP,0,33,33,2,2,0,0,1,31,15,4,28,12,7.74,3.4,2.27,1,0.243,1.33,0.285,71.70%,4.01,4.16,999
577,Luis González,BAL,0,36,36,2,2,0,0,1,34,16,5,34,10,8.57,2.6,3.3,1.32,0.241,1.23,0.282,71.90%,4.07,4.16,999
578,Noah Cameron,KCR,0,21,21,1,1,0,0,1,21,10,3,18,7,7.69,2.86,2.69,1.1,0.255,1.31,0.299,69.50%,4.27,4.13,622.7
579,Tom Cosgrove,SDP,0,46,46,2,2,0,0,1,40,20,6,45,19,8.72,3.68,2.37,1.16,0.227,1.28,0.271,73.40%,3.9,4.27,999
580,Jack Dreyer,LAD,0,19,19,1,1,0,0,1,16,8,3,20,8,9.7,3.85,2.52,1.2,0.222,1.28,0.274,74.00%,3.87,4.16,999
581,Sean Reid-Foley,NYM,0,22,22,1,1,0,0,1,18,9,2,24,12,9.77,4.93,1.98,0.85,0.216,1.35,0.278,74.80%,3.62,4.02,999
582,Andrew Saalfrank,ARI,0,28,28,1,1,0,0,1,27,13,2,26,13,8.49,4.24,2,0.77,0.248,1.42,0.308,71.40%,4.06,3.96,999
583,Ron Marinaccio,SDP,0,40,40,2,2,0,0,1,34,17,5,41,19,9.18,4.2,2.19,1.07,0.226,1.32,0.278,73.20%,3.92,4.22,999
584,Enyel De Los Santos,ATL,0,35,35,2,2,0,0,1,31,16,5,37,14,9.41,3.51,2.68,1.2,0.233,1.28,0.287,72.10%,4.04,4.12,999
585,Kyle Nelson,ARI,0,35,35,2,2,0,0,1,33,16,4,33,12,8.59,3.09,2.78,1.14,0.242,1.29,0.29,71.90%,4.04,4.07,748.4
586,Kade Strowd,BAL,0,26,26,1,1,0,0,1,24,11,3,27,13,9.33,4.57,2.04,0.89,0.236,1.42,0.298,73.20%,3.98,4.05,999
587,Kyle Leahy,STL,0,56,56,3,3,0,0,10,56,27,6,44,21,7.15,3.31,2.16,0.99,0.258,1.38,0.299,69.40%,4.35,4.25,999
588,Andrew Misiaszek,CLE,0,26,26,1,1,0,0,1,23,11,3,26,11,9.13,3.94,2.32,1.04,0.226,1.31,0.278,73.80%,3.8,4.1,999
589,J.B. Wendelken,SDP,0,19,19,1,1,0,0,1,18,9,2,17,8,8.05,3.79,2.13,0.95,0.25,1.37,0.302,73.30%,4.26,4.17,999
590,Drew Pomeranz,SEA,0,14,14,1,1,0,0,1,12,6,2,15,5,9.7,3.26,2.98,1.14,0.218,1.19,0.271,75.10%,3.55,3.88,999
591,Cody Poteet,CHC,0,30,30,2,1,0,0,1,28,14,3,26,10,7.8,3.06,2.54,1.04,0.247,1.27,0.292,69.80%,4.1,4.08,749.5
592,J.P. France,HOU,2,23,28,1,1,1,0,1,28,15,4,24,11,7.49,3.51,2.14,1.33,0.253,1.38,0.287,69.30%,4.69,4.73,999
593,Sean Reynolds,SDP,0,53,53,3,3,0,1,6,46,23,6,56,28,9.48,4.81,1.97,1.01,0.226,1.4,0.283,73.80%,3.97,4.27,999
594,Logan VanWey,HOU,0,22,22,1,1,0,0,1,19,9,3,25,11,10.11,4.65,2.17,1.04,0.219,1.36,0.279,75.10%,3.79,4.13,999
595,Colten Brewer,NYY,0,22,22,1,1,0,0,1,20,10,3,21,9,8.75,3.76,2.33,1.15,0.23,1.31,0.274,73.50%,3.95,4.28,999
596,Luis Frías,CLE,0,34,34,2,2,0,0,1,31,15,4,33,15,8.74,3.99,2.19,1,0.238,1.36,0.291,72.40%,4.03,4.15,999
597,Connor Thomas,MIL,0,54,54,3,3,0,0,6,55,26,6,36,14,5.99,2.34,2.56,1.06,0.259,1.29,0.286,68.50%,4.27,4.27,999
598,Shawn Dubin,HOU,0,33,33,2,2,0,0,1,30,15,4,33,16,9.06,4.36,2.08,0.98,0.236,1.39,0.293,72.50%,4.06,4.17,999
599,Hayden Harris,ATL,0,17,17,1,1,0,0,1,14,7,2,20,8,10.63,4.49,2.37,1.07,0.22,1.34,0.287,74.60%,3.83,4,999
600,Trevor Gott,SEA,0,10,10,1,0,0,0,1,9,4,1,10,3,9.01,3.01,2.99,1.05,0.225,1.19,0.275,74.20%,3.54,3.81,999
