#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
1784,Enrique Bradfield Jr.,690961,690961,sa3022917,12213,*05jre*,BAL,OF,OF,Bradfield Jr.,Enrique,Bradfield Jr.,Enrique
1785,Alex Freeland,690976,690976,sa3020653,12231,*05xu1*,LAD,SS,SS,Freeland,Alex,Freeland,Alex
1786,Dax Fulton,690978,690978,sa3014535,11757,*05gwu*,MIA,SP,SP,Fulton,Dax,Fulton,Dax
1787,Kyle Harrison,690986,690986,27758,11597,*05js3*,SF,SP,SP,Harrison,Kyle,Harrison,Kyle
1788,Robert Hassell III,690987,690987,sa3014701,11046,*05gbe*,WSH,OF,OF,Hassell III,Robert,Hassell III,Robert
1789,Austin Hendrick,690988,690988,sa3014521,10828,*04n1t*,CIN,OF,OF,Hendrick,Austin,Hendrick,Austin
1790,Cade Horton,690990,690990,sa3020860,11886,*05gww*,CHC,SP,SP,Horton,Cade,Horton,Cade
1791,Colt Keith,690993,690993,27899,11825,*05jrh*,DET,2B,2B,Keith,Colt,Keith,Colt
1792,Tre’ Morgan,691003,691003,sa3022919,12332,*05wrt*,TB,OF,OF,Morgan,Tre’,Morgan,Tre’
1793,Drew Romo,691011,691011,27763,11914,*05gwr*,COL,C,C,Romo,Drew,Romo,Drew
1794,Tyler Soderstrom,691016,691016,27467,11071,*05gtn*,ATH,1B,C/1B,Soderstrom,Tyler,Soderstrom,Tyler
1795,Kyle Teel,691019,691019,sa3022886,11901,*05wxy*,CHW,C,C,Teel,Kyle,Teel,Kyle
1796,A.J. Vukovich,691021,691021,sa3014525,11616,*05jql*,ARI,3B,3B,Vukovich,A.J.,Vukovich,A.J.
1797,Jordan Walker,691023,691023,27475,10885,*05gbf*,STL,OF,OF,Walker,Jordan,Walker,Jordan
1798,Masyn Winn,691026,691026,27479,10899,*05gwy*,STL,SS,SS,Winn,Masyn,Winn,Masyn
1799,Randy Wynne,691094,691094,25804,11816,*058py*,CIN,SP,SP,Wynne,Randy,Wynne,Randy
1800,Yosver Zulueta,691172,691172,27765,11687,*05it9*,CIN,RP,RP,Zulueta,Yosver,Zulueta,Yosver
1801,Jasson Dominguez,691176,691176,28080,11749,*050c3*,NYY,OF,OF,Dominguez,Jasson,Domínguez,Jasson
1802,Emmanuel Rodriguez,691181,691181,sa3014693,11990,*054p6*,MIN,OF,OF,Rodriguez,Emmanuel,Rodriguez,Emmanuel
1803,Adael Amador,691182,691182,27962,11965,*04ysv*,COL,2B,2B,Amador,Adael,Amador,Adael
1804,Deyvison De Los Santos,691277,691277,sa3015168,11615,*05nsq*,MIA,1B,1B,De Los Santos,Deyvison,De Los Santos,Deyvison
1805,Moises Chace,691330,691330,sa3015346,12264,*060vu*,PHI,SP,SP,Chace,Moises,Chace,Moisés
1806,Junior Caminero,691406,691406,28163,11875,*05xch*,TB,3B,3B,Caminero,Junior,Caminero,Junior
1807,Cristian Mena,691441,691441,27974,11978,*05ita*,ARI,SP,SP,Mena,Cristian,Mena,Cristian
1808,Yolbert Sanchez,691503,691503,sa3011471,10529,*04yrn*,FA,SS,SS,Sanchez,Yolbert,,
1809,Eury Perez,691587,691587,27768,11591,*05aoc*,MIA,SP,SP,Perez,Eury,Pérez,Eury
1810,Javier Sanoja,691594,691594,28253,12177,*062ho*,MIA,3B,3B,Sanoja,Javier,Sanoja,Javier
1811,Jeferson Quero,691620,691620,sa3015407,11906,*05gss*,MIL,C,C,Quero,Jeferson,Quero,Jeferson
1812,Pete Crow-Armstrong,691718,691718,27769,11864,*051wv*,CHC,OF,OF,Crow-Armstrong,Pete,Crow-Armstrong,Pete
1813,Jared Kelley,691721,691721,sa3014471,11091,*05g4j*,CHW,SP,SP,Kelley,Jared,Kelley,Jared
1814,Coby Mayo,691723,691723,28312,11889,*05js5*,BAL,3B,3B,Mayo,Coby,Mayo,Coby
1815,Andrew Painter,691725,691725,sa3017880,11585,*05r3i*,PHI,SP,SP,Painter,Andrew,Painter,Andrew
1816,Zac Veen,691728,691728,sa3014516,11331,*05gbg*,COL,OF,OF,Veen,Zac,Veen,Zac
1817,Alejandro Rosario,691730,691730,sa3023538,12230,,TEX,SP,SP,Rosario,Alejandro,Rosario,Alejandro
1818,Max Muncy,691777,691777,sa3017290,12301,*05t9l*,ATH,SS,SS,Muncy,Max,Muncy,Max
1819,Brady House,691781,691781,sa3017694,11926,*059bx*,WSH,3B,3B,House,Brady,House,Brady
1820,Jordan Lawlar,691783,691783,29976,11439,*05r1m*,ARI,SS,SS,Lawlar,Jordan,Lawlar,Jordan
1821,Marcelo Mayer,691785,691785,sa3017114,11934,*05r9j*,BOS,SS,SS,Mayer,Marcelo,Mayer,Marcelo
1822,Grant Taylor,691799,691799,,12359,*066er*,CHW,SP,SP,Taylor,Grant,Taylor,Grant
1823,Sem Robberse,691828,691828,sa3011735,11976,*05gea*,STL,RP,RP,Robberse,Sem,Robberse,Sem
1824,Jared Serna,691858,691858,sa3015579,12263,*062jx*,MIA,2B,2B,Serna,Jared,Serna,Jared
1825,Jesus Castillo,691913,691913,sa3015587,9853,*062l1*,PIT,SS,SS,Castillo,Jesus,Castillo,Jesus
1826,George Klassen,691946,691946,sa3023440,12220,*067xm*,LAA,SP,SP,Klassen,George,Klassen,George
1827,Jake Vogel,691949,691949,sa3014473,11135,*05jsa*,LAD,OF,OF,Vogel,Jake,Vogel,Jake
1828,Sam Aldegheri,691951,691951,26443,12170,*06aw2*,LAA,SP,SP,Aldegheri,Sam,Aldegheri,Sam
1829,Kristian Campbell,692225,692225,sa3023011,12195,*06f0q*,BOS,2B,2B,Campbell,Kristian,Campbell,Kristian
1830,Carlos Rodriguez,692230,692230,30161,11915,*04loe*,MIL,SP,SP,Rodriguez,Carlos,Rodriguez,Carlos
1831,Luis Guerrero,692285,692285,31184,12176,*06aop*,BOS,RP,RP,Guerrero,Luis,Guerrero,Luis
1832,Yoniel Curet,692414,692414,sa3015446,11991,*05uec*,TB,SP,SP,Curet,Yoniel,Curet,Yoniel
1833,Winston Santos,692437,692437,sa3015952,12291,*061lj*,TEX,RP,RP,Santos,Winston,Santos,Winston
1834,Yanquiel Fernandez,692585,692585,sa3015648,12219,*05g3k*,COL,OF,OF,Fernandez,Yanquiel,Fernandez,Yanquiel
1835,Oscar Colas,693049,693049,30162,11181,*05g2r*,CHW,OF,OF,Colas,Oscar,Colás,Oscar
1836,Nick Gonzales,693304,693304,27490,11038,*0597k*,PIT,2B,2B/SS,Gonzales,Nick,Gonzales,Nick
1837,Dillon Dingler,693307,693307,27464,10920,*05gx4*,DET,C,C,Dingler,Dillon,Dingler,Dillon
1838,Nick Frasso,693308,693308,sa3014492,11931,*05jpo*,LAD,RP,RP,Frasso,Nick,Frasso,Nick
1839,Burl Carraway,693310,693310,,11074,*05jp6*,CHC,RP,RP,Carraway,Burl,Carraway,Burl
1840,Tink Hence,693311,693311,sa3014709,12033,*05jpx*,STL,SP,SP,Hence,Tink,Hence,Tink
1841,Kyle Nicolas,693312,693312,27775,11869,*05l9g*,PIT,RP,RP,Nicolas,Kyle,Nicolas,Kyle
1842,Bryan Woo,693433,693433,30279,11800,*05y62*,SEA,SP,SP,Woo,Bryan,Woo,Bryan
1843,Taylor Dollard,693440,693440,sa3014982,11721,*05jrq*,SEA,SP,SP,Dollard,Taylor,Dollard,Taylor
1844,Emiliano Teodo,693713,693713,sa3015158,11945,*05uo4*,TEX,SP,SP,Teodo,Emiliano,Teodo,Emiliano
1845,Bryce Elder,693821,693821,27779,11307,*05jp9*,ATL,SP,SP,Elder,Bryce,Elder,Bryce
1846,Ian Seymour,693855,693855,sa3014512,11420,*05jpd*,TB,SP,SP,Seymour,Ian,Seymour,Ian
1847,Daniel Palencia,694037,694037,27914,11821,*05u4l*,CHC,RP,RP,Palencia,Daniel,Palencia,Daniel
1848,Pedro Leon,694175,694175,27781,11198,*05gdv*,HOU,OF,OF,Leon,Pedro,León,Pedro
1849,Jackson Chourio,694192,694192,28806,11738,*05m1e*,MIL,OF,OF,Chourio,Jackson,Chourio,Jackson
1850,Moises Ballesteros,694208,694208,sa3015713,12217,*05rbs*,CHC,C,C,Ballesteros,Moises,Ballesteros,Moises
1851,Samuel Basallo,694212,694212,sa3015716,12039,*05rbv*,BAL,C,C,Basallo,Samuel,Basallo,Samuel
1852,Brandon Pfaadt,694297,694297,27782,11586,*05lg3*,ARI,SP,SP,Pfaadt,Brandon,Pfaadt,Brandon
1853,Zach Brzykcy,694350,694350,27783,11744,*05ocn*,WSH,RP,RP,Brzykcy,Zach,Brzykcy,Zach
1854,Tyler Gentry,694355,694355,27784,11602,*05jqw*,KC,DH,OF,Gentry,Tyler,Gentry,Tyler
1855,Ricky Tiedemann,694357,694357,sa3018096,11605,*05js6*,TOR,SP,SP,Tiedemann,Ricky,Tiedemann,Ricky
1856,Tekoah Roby,694358,694358,sa3014519,11899,*05jqh*,STL,SP,SP,Roby,Tekoah,Roby,Tekoah
1857,Niko Kavadas,694359,694359,29782,12157,*05jqp*,LAA,1B,1B,Kavadas,Niko,Kavadas,Niko
1858,Will Klein,694361,694361,27787,11983,*05jrv*,SEA,RP,RP,Klein,Will,Klein,Will
1859,Blake Dunn,694362,694362,29487,11925,*05jr5*,CIN,OF,OF,Dunn,Blake,Dunn,Blake
1860,Jared Shuster,694363,694363,27472,10849,*05jp2*,CHW,RP,RP,Shuster,Jared,Shuster,Jared
1861,Adam Seminaris,694372,694372,sa3015010,10916,*05jr6*,SEA,SP,SP,Seminaris,Adam,,
1862,Tim Tawa,694374,694374,sa3016970,12250,*05y4m*,ARI,OF,OF,Tawa,Tim,Tawa,Tim
1863,Shay Whitcomb,694376,694376,27789,12156,*05jqi*,HOU,3B,2B/3B,Whitcomb,Shay,Whitcomb,Shay
1864,Nick Yorke,694377,694377,27504,11145,*05js7*,PIT,2B,2B,Yorke,Nick,Yorke,Nick
1865,Nolan Schanuel,694384,694384,33189,11844,*05yj1*,LAA,1B,1B,Schanuel,Nolan,Schanuel,Nolan
1866,Brock Wilken,694385,694385,sa3022499,12051,*05ubi*,MIL,3B,3B,Wilken,Brock,Wilken,Brock
1867,Joey Loperfido,694388,694388,29630,11952,*05yfl*,TOR,OF,OF,Loperfido,Joey,Loperfido,Joey
1868,Justice Bigbie,694425,694425,sa3016971,11932,*05ylo*,DET,OF,OF,Bigbie,Justice,Bigbie,Justice
1869,Hurston Waldrep,694462,694462,33527,11887,*0603p*,ATL,SP,SP,Waldrep,Hurston,Waldrep,Hurston
1870,Chad Patrick,694477,694477,sa3017933,12259,*05yb8*,MIL,RP,RP,Patrick,Chad,Patrick,Chad
1871,Evan Carter,694497,694497,27790,11753,*05mdt*,TEX,OF,OF,Carter,Evan,Carter,Evan
1872,Sterlin Thompson,694514,694514,sa3019999,11938,*05jsc*,COL,3B,3B,Thompson,Sterlin,Thompson,Sterlin
1873,Chase Hampton,694633,694633,sa3020682,11930,*05yh3*,NYY,SP,SP,Hampton,Chase,Hampton,Chase
1874,Chayce McDermott,694646,694646,29866,11909,*05uws*,BAL,SP,SP,McDermott,Chayce,McDermott,Chayce
1875,Wyatt Langford,694671,694671,33333,11881,*060pm*,TEX,OF,OF,Langford,Wyatt,Langford,Wyatt
1876,Brice Matthews,694728,694728,sa3022563,12355,*06c36*,HOU,SS,SS,Matthews,Brice,Matthews,Brice
1877,Landen Roupp,694738,694738,30076,11634,*05y72*,SF,SP,SP,Roupp,Landen,Roupp,Landen
1878,Gavin Stone,694813,694813,27792,11587,*05mrx*,LAD,SP,SP,Stone,Gavin,Stone,Gavin
1879,Jacob Misiorowski,694819,694819,sa3020644,11894,*061yu*,MIL,RP,RP,Misiorowski,Jacob,Misiorowski,Jacob
1880,Ryan Murphy,694885,694885,sa3014871,11426,*05mrt*,SF,SP,SP,Murphy,Ryan,Murphy,Ryan
1881,Paul Skenes,694973,694973,33677,11885,*05wru*,PIT,SP,SP,Skenes,Paul,Skenes,Paul
1882,Rhett Lowder,695076,695076,33876,11933,*061bo*,CIN,SP,SP,Lowder,Rhett,Lowder,Rhett
1883,Will Wagner,695238,695238,29634,12151,*05yhg*,TOR,2B,2B,Wagner,Will,Wagner,Will
1884,Mason Miller,695243,695243,31757,11787,*05ucd*,ATH,RP,RP,Miller,Mason,Miller,Mason
1885,Billy Cook,695257,695257,29573,12180,*05y46*,PIT,OF,1B/OF,Cook,Billy,Cook,Billy
1886,Thomas Saggese,695336,695336,27883,11895,*05mru*,STL,2B,2B/3B,Saggese,Thomas,Saggese,Thomas
1887,Brett Harris,695391,695391,29788,12042,*05yca*,ATH,3B,3B,Harris,Brett,Harris,Brett
1888,Chase Burns,695505,695505,,12193,,CIN,P,P,Burns,Chase,Burns,Chase
1889,Jac Caglianone,695506,695506,sa3025245,12211,*05u9q*,KC,1B,1B,Caglianone,Jac,Caglianone,Jac
1890,Chase Petty,695534,695534,sa3017963,12045,*05raz*,CIN,SP,SP,Petty,Chase,Petty,Chase
1891,Jackson Jobe,695549,695549,30203,11897,*05rb0*,DET,SP,SP,Jobe,Jackson,Jobe,Jackson
1892,James Wood,695578,695578,29518,11750,*05rat*,WSH,OF,OF,Wood,James,Wood,James
1893,Colson Montgomery,695657,695657,sa3017170,11892,*05rch*,CHW,SS,SS,Montgomery,Colson,Montgomery,Colson
1894,Harry Ford,695670,695670,sa3017627,11937,*05raw*,SEA,C,C,Ford,Harry,Ford,Harry
1895,Christian Moore,695681,695681,sa3025168,12194,*06cq8*,LAA,2B,2B,Moore,Christian,Moore,Christian
1896,Josh Stephan,695776,695776,sa3015286,11958,*05y5g*,TEX,SP,SP,Stephan,Josh,Stephan,Josh
1897,Wilmer Flores,695865,695865,sa3015223,11623,*05ww2*,DET,SP,SP,Flores,Wilmer,Flores,Wilmer
1898,Alejandro Osuna,696030,696030,sa3015127,12300,*05r3s*,TEX,OF,OF,Osuna,Alejandro,Osuna,Alejandro
1899,Hunter Goodman,696100,696100,29715,11848,*05u2v*,COL,C/OF,C/1B/ OF,Goodman,Hunter,Goodman,Hunter
1900,Mason Black,696131,696131,30171,11888,*05r3g*,SF,SP,SP,Black,Mason,Black,Mason
1901,Jordan Wicks,696136,696136,30094,11847,*05r1d*,CHC,SP,SP,Wicks,Jordan,Wicks,Jordan
1902,Hagen Smith,696146,696146,,12196,,CHW,P,P,Smith,Hagen,Smith,Hagen
1903,Sam Bachman,696147,696147,29754,11796,*05rb4*,LAA,RP,RP,Bachman,Sam,Bachman,Sam
1904,Bubba Chandler,696149,696149,sa3017428,12035,*05rik*,PIT,SP,SP,Chandler,Bubba,Chandler,Bubba
1905,Jacob Young,696285,696285,29931,11846,*05yaf*,WSH,OF,OF,Young,Jacob,Young,Jacob
1906,Joe Rock,697812,697812,sa3017755,12256,*05tdd*,TB,SP,SP,Rock,Joe,Rock,Joe
1907,Miguel Ullola,699044,699044,sa3016504,12298,*061xq*,HOU,SP,SP,Ullola,Miguel,Ullola,Miguel
1908,Hector Rodriguez,699302,699302,sa3015828,12030,*05xse*,CIN,2B,2B,Rodriguez,Hector,Rodriguez,Hector
1909,Ivan Melendez,699471,699471,sa3019859,11944,*060ih*,ARI,3B,3B,Melendez,Ivan,Melendez,Ivan
1910,Troy Taylor,700187,700187,31883,12147,*065ns*,SEA,RP,RP,Taylor,Troy,Taylor,Troy
1911,Michael McGreevy,700241,700241,29869,12137,*05sr2*,STL,RP,RP,McGreevy,Michael,McGreevy,Michael
1912,Trey Sweeney,700242,700242,29575,12155,*05tuw*,DET,SS,SS,Sweeney,Trey,Sweeney,Trey
1913,Carson Williams,700246,700246,sa3017795,12024,*05t9n*,TB,SS,SS,Williams,Carson,Williams,Carson
1914,Cade Povich,700249,700249,30055,11924,*05xop*,BAL,SP,SP,Povich,Cade,Povich,Cade
1915,Ben Rice,700250,700250,29576,11911,*05yo5*,NYY,1B,1B,Rice,Ben,Rice,Ben
1916,Yilber Diaz,700270,700270,29271,12125,*06agh*,ARI,RP,RP,Diaz,Yilber,Diaz,Yilber
1917,Edgar Quero,700337,700337,sa3015239,12191,*05un2*,CHW,C,C,Quero,Edgar,Quero,Edgar
1918,AJ Smith-Shawver,700363,700363,29960,11774,*05uy5*,ATL,SP,SP,Smith-Shawver,AJ,Smith-Shawver,AJ
1919,Gordon Graceffo,700669,700669,29519,11598,*05wxw*,STL,RP,RP,Graceffo,Gordon,Graceffo,Gordon
1920,Kyle Manzardo,700932,700932,29794,11600,*05rfu*,CLE,DH,1B,Manzardo,Kyle,Manzardo,Kyle
1921,Zach Dezenzo,701305,701305,31562,12145,*0641c*,HOU,1B,1B,Dezenzo,Zach,Dezenzo,Zach
1922,Jackson Ferris,701328,701328,sa3020891,12324,*05u6g*,LAD,SP,SP,Ferris,Jackson,Ferris,Jackson
1923,Roman Anthony,701350,701350,sa3020211,11948,*05u9z*,BOS,OF,OF,Anthony,Roman,Anthony,Roman
1924,Cam Smith,701358,701358,sa3025358,12331,*060jo*,HOU,3B,3B,Smith,Cam,Smith,Cam
1925,Jackson Merrill,701538,701538,29490,11891,*05ua7*,SD,OF,OF,Merrill,Jackson,Merrill,Jackson
1926,Will Warren,701542,701542,30182,11898,*05yaz*,NYY,SP,SP,Warren,Will,Warren,Will
1927,David Festa,701581,701581,30056,11902,*05yav*,MIN,SP,SP,Festa,David,Festa,David
1928,Grant Hartwig,701643,701643,29946,11814,*06615*,NYM,RP,RP,Hartwig,Grant,Hartwig,Grant
1929,James Triantos,701649,701649,sa3017295,11951,*05ucf*,CHC,2B,2B,Triantos,James,Triantos,James
1930,Logan Henderson,701656,701656,sa3020080,12238,*05uo2*,MIL,SP,SP,Henderson,Logan,Henderson,Logan
1931,Hao-Yu Lee,701678,701678,sa3017863,12353,*05u2k*,DET,SS,SS,Lee,Hao-Yu,Lee,Hao-Yu
1932,Nick Kurtz,701762,701762,,12222,*062k5*,ATH,1B,1B,Kurtz,Nick,Kurtz,Nick
1933,Justin Armbruester,701859,701859,sa3017548,12044,*05yo1*,BAL,SP,SP,Armbruester,Justin,Armbruester,Justin
1934,Will Dion,702021,702021,sa3017850,11957,*05xtu*,CLE,SP,SP,Dion,Will,Dion,Will
1935,Noah Cameron,702070,702070,sa3018097,12201,*05ycf*,KC,RP,RP,Cameron,Noah,Cameron,Noah
1936,Alan Roden,702176,702176,sa3020212,12210,*061yt*,TOR,OF,OF,Roden,Alan,Roden,Alan
1937,Andrew Morris,702193,702193,sa3020569,12205,*0648r*,MIN,SP,SP,Morris,Andrew,Morris,Andrew
1938,Justin Crawford,702222,702222,sa3020240,12303,*05y30*,PHI,OF,OF,Crawford,Justin,Crawford,Justin
1939,Druw Jones,702258,702258,sa3020676,11747,*05tdk*,ARI,OF,OF,Jones,Druw,Jones,Druw
1940,Noah Schultz,702273,702273,sa3020949,12197,*05uc7*,CHW,SP,SP,Schultz,Noah,Schultz,Noah
1941,Robby Snelling,702281,702281,sa3020707,11907,*061mh*,MIA,SP,SP,Snelling,Robby,Snelling,Robby
1942,Cole Young,702284,702284,sa3020459,12249,*05y7x*,SEA,SS,SS,Young,Cole,Young,Cole
1943,RJ Schreck,702302,702302,sa3022602,12339,*0603l*,TOR,OF,OF,Schreck,RJ,Schreck,RJ
1944,Caleb Durbin,702332,702332,sa3017183,12204,*05y4b*,MIL,SS,SS,Durbin,Caleb,Durbin,Caleb
1945,Haydn McGeary,702333,702333,sa3020133,11950,*0603s*,CHC,1B,1B,McGeary,Haydn,McGeary,Haydn
1946,Spencer Bivens,702352,702352,30226,12106,*06kvo*,SF,RP,RP,Bivens,Spencer,Bivens,Spencer
1947,Trey Lipscomb,702358,702358,31567,12068,*0612z*,WSH,3B,2B/3B,Lipscomb,Trey,Lipscomb,Trey
1948,Jimmy Joyce,702460,702460,sa3016914,12018,*066sr*,SEA,RP,RP,Joyce,Jimmy,Joyce,Jimmy
1949,Jett Williams,702518,702518,sa3020134,11923,*060la*,NYM,SS,SS,Williams,Jett,Williams,Jett
1950,Jackson Holliday,702616,702616,31781,11751,*05ybv*,BAL,2B,2B/SS,Holliday,Jackson,Holliday,Jackson
1951,Caden Dana,702674,702674,31508,12171,*063e5*,LAA,SP,SP,Dana,Caden,Dana,Caden
1952,Ryan Loutos,702795,702795,29521,12090,*062sf*,STL,RP,RP,Loutos,Ryan,Loutos,Ryan
1953,Jarlin Susana,703186,703186,sa3018808,12348,*05y7n*,WSH,SP,SP,Susana,Jarlin,Susana,Jarlin
1954,Parker Messick,800048,800048,sa3020748,12215,*05tzn*,CLE,RP,RP,Messick,Parker,Messick,Parker
1955,Adam Mazur,800049,800049,31900,12100,*060gg*,MIA,SP,SP,Mazur,Adam,Mazur,Adam
1956,Chase DeLauter,800050,800050,sa3021053,11919,*05uei*,CLE,OF,OF,DeLauter,Chase,DeLauter,Chase
1957,Chase Dollander,801403,801403,sa3023361,12209,*05yj0*,COL,SP,SP,Dollander,Chase,Dollander,Chase
1958,J.J. Wetherholt,802139,802139,sa3025154,12302,,STL,SS,SS,Wetherholt,J.J.,Wetherholt,J.J.
1959,Drue Hackenberg,802357,802357,sa3023304,12262,*062e9*,ATL,SP,SP,Hackenberg,Drue,Hackenberg,Drue
1960,Chandler Simpson,802415,802415,sa3020219,12212,*0622w*,TB,OF,OF,Simpson,Chandler,Simpson,Chandler
1961,Thomas Harrington,802419,802419,sa3020752,12207,*05zya*,PIT,SP,SP,Harrington,Thomas,Harrington,Thomas
1962,Reid VanScoter,804577,804577,sa3020839,12060,*064wg*,SEA,SP,SP,VanScoter,Reid,VanScoter,Reid
1963,Jonah Tong,804636,804636,sa3022324,12344,,NYM,SP,SP,Tong,Jonah,Tong,Jonah
1964,A.J. Blubaugh,805123,805123,sa3020112,12025,*0649e*,HOU,RP,RP,Blubaugh,A.J.,Blubaugh,A.J.
1965,Otto Kemp,805249,805249,sa3020577,12338,*066al*,PHI,2B,2B,Kemp,Otto,Kemp,Otto
1966,Jakob Marsee,805300,805300,sa3019868,11939,*065ji*,MIA,OF,OF,Marsee,Jakob,Marsee,Jakob
1967,Chase Meidroth,805367,805367,sa3020011,12227,*0648n*,CHW,2B,2B,Meidroth,Chase,Meidroth,Chase
1968,Nacho Alvarez Jr.,805373,805373,31765,12129,*064da*,ATL,2B,2B,Alvarez Jr.,Nacho,Alvarez Jr.,Nacho
1969,Zebby Matthews,805673,805673,31827,12148,*066cf*,MIN,SP,SP,Matthews,Zebby,Matthews,Zebby
1970,Jacob Wilson,805779,805779,33266,12127,*0622t*,ATH,SS,SS,Wilson,Jacob,Wilson,Jacob
1971,Walker Jenkins,805805,805805,sa3022894,12040,*05u3v*,MIN,DH,SS,Jenkins,Walker,Jenkins,Walker
1972,Bryce Eldridge,805811,805811,sa3022757,12202,*05u96*,SF,OF,P,Eldridge,Bryce,Eldridge,Bryce
1973,Hayden Birdsong,806185,806185,31635,12026,*06650*,SF,SP,SP,Birdsong,Hayden,Birdsong,Hayden
1974,Isaac Coffey,806190,806190,sa3020222,12038,*066d8*,BOS,SP,SP,Coffey,Isaac,Coffey,Isaac
1975,Cooper Pratt,806198,806198,sa3022867,12354,*067xj*,MIL,SS,SS,Pratt,Cooper,Pratt,Cooper
1976,Ethan Salas,806956,806956,sa3020881,11949,*05ybr*,SD,C,C,Salas,Ethan,Salas,Ethan
1977,Sebastian Walcott,806964,806964,sa3021069,12346,*0662o*,TEX,SS,SS,Walcott,Sebastian,Walcott,Sebastian
1978,Luke Keaschall,807712,807712,sa3022614,12228,*05zh9*,MIN,2B,2B,Keaschall,Luke,Keaschall,Luke
1979,Matt Shaw,807713,807713,sa3022615,11921,*063vu*,CHC,3B,3B,Shaw,Matt,Shaw,Matt
1980,Masataka Yoshida,807799,807799,31837,11629,*05rc3*,BOS,DH,OF,Yoshida,Masataka,Yoshida,Masataka
1981,Roki Sasaki,808963,808963,sa3025686,11940,*05gdz*,LAD,SP,SP,Sasaki,Roki,Sasaki,Roki
1982,Yoshinobu Yamamoto,808967,808967,33825,11883,*05r8n*,LAD,SP,SP,Yamamoto,Yoshinobu,Yamamoto,Yoshinobu
1983,Woo-Suk Go,808970,808970,sa3012630,12001,*06i08*,MIA,RP,RP,Go,Woo-Suk,Go,Woo-Suk
1984,Hyeseong Kim,808975,808975,sa3012639,12214,*06in4*,LAD,2B,2B,Kim,Hyeseong,Kim,Hyeseong
1985,Jung Hoo Lee,808982,808982,33824,11903,*05m49*,SF,OF,OF,Lee,Jung Hoo,Lee,Jung Hoo
1986,Charles Condon,809707,809707,sa3025257,12189,,COL,OF,OF,Condon,Charles,,
1987,Jake Bloss,814005,814005,33168,12109,*06dqi*,TOR,SP,SP,Bloss,Jake,Bloss,Jake
1988,Ben Shields,815456,815456,sa3023483,12335,,NYY,SP,SP,Shields,Ben,Shields,Ben
1989,Ryan Lobus,815590,815590,sa3022744,12236,,TEX,SP,SP,Lobus,Ryan,Lobus,Ryan
1990,Leodalis De Vries,815888,815888,sa3023363,12299,*067yc*,SD,SS,SS,De Vries,Leodalis,De Vries,Leodalis
1991,Jesus Made,815908,815908,sa3024108,12352,,MIL,SS,SS,Made,Jesus,Made,Jesus
1992,Payton Eeles,823356,823356,sa3023622,12234,*06ltg*,MIN,2B,2B,Eeles,Payton,Eeles,Payton
1993,Shinnosuke Ogasawara,829272,829272,steamerOgasawara,12224,*06l54*,WSH,SP,SP,Ogasawara,Shinnosuke,Ogasawara,Shinnosuke
1994,Koyo Aoyagi,829460,829460,,12342,,PHI,P,P,Aoyagi,Koyo,Aoyagi,Koyo
1995,Brendan McKay,656713,6567130,20186,10811,*04afi*,TB,1B,1B,McKay,Brendan,,
1996,Shohei Ohtani,660271,6602710,19755,9810,*02yc4*,LAD,DH,DH,Ohtani,Shohei,Ohtani,Shohei
1997,Santiago Suarez,800571,8005710,99999,9999,*00000*,TB,SP,SP,Suarez,Santiago,Suarez,Santiago
1998,Kevin McGonigle,805808,8058080,99999,9999,*00000*,DET,SS,SS,McGonigle,Kevin,McGonigle,Kevin
